Food category name,Measuring unit,Weight Cat
Dry Rice Item,Katori,124g
Wet Rice Item,Katori,150g
Veg Gravy,Katori,150g
Veg Fry,Katori,100g
Non - Veg Gravy,Katori ,150g
Non - Veg Fry,Katori ,100g
Dals,Katori,150g
Wet Breakfast Item,Katori,130g
Dry Breakfast Item,Katori,100g
Chutneys,Tbsp,15g
Plain Flatbreads,Piece,50g
Stuffed Flatbreads,Piece,100g
Salads,Katori,100g
Raita,Katori,150g
Plain Soups,Katori,150g
Mixed Soups,Cup,250g
Hot Beverages,Cup,250ml
Beverages,Cup,250ml
Snacks,Katori,100g
Sweets,Katori,120g